,flo_in,sed_in
2006-02-25,10.1,.238E+04
2006-02-26,34.9,.160E+05
2006-02-27,10.4,.244E+04
2006-02-28,10.2,.239E+04
2006-03-01,124.,.569E+05
2006-03-02,11.8,.327E+04
2006-03-03,22.5,.943E+04
2006-03-04,10.3,.239E+04
2006-03-05,10.3,.238E+04
2006-03-06,10.2,.238E+04
2006-03-07,10.4,.243E+04
2006-03-08,10.3,.238E+04
2006-03-09,10.4,.248E+04
2006-03-10,10.5,.250E+04
2006-03-11,10.3,.248E+04
2006-03-12,10.3,.248E+04
2006-03-13,12.6,.373E+04
2006-03-14,10.4,.250E+04
2006-03-15,10.4,.251E+04
2006-03-16,19.7,.782E+04
2006-03-17,32.0,.146E+05
2006-03-18,12.0,.337E+04
2006-03-19,14.1,.460E+04
2006-03-20,10.6,.253E+04
2006-03-21,10.5,.253E+04
2006-03-22,35.4,.163E+05
2006-03-23,25.7,.111E+05
2006-03-24,10.6,.253E+04
2006-03-25,10.6,.253E+04
2006-03-26,10.6,.253E+04
2006-03-27,10.7,.253E+04
2006-03-28,10.6,.253E+04
2006-03-29,11.1,.286E+04
2006-03-30,10.6,.253E+04
2006-03-31,10.4,.239E+04
2006-04-01,10.1,.222E+04
2006-04-02,29.2,.129E+05
2006-04-03,9.76,.186E+04
2006-04-04,9.58,.180E+04
2006-04-05,55.5,.266E+05
2006-04-06,9.30,.150E+04
2006-04-07,9.22,.149E+04
2006-04-08,8.90,.127E+04
2006-04-09,8.79,.118E+04
2006-04-10,8.55,.104E+04
2006-04-11,11.8,.283E+04
2006-04-12,122.,.560E+05
2006-04-13,9.10,.142E+04
2006-04-14,4.26,5.87
2006-04-15,2.25,5.73
2006-04-16,2.55,8.60
2006-04-17,2.48,8.77
2006-04-18,2.51,9.57
2006-04-19,2.95,14.4
2006-04-20,10.0,.229E+04
2006-04-21,6.74,682.
2006-04-22,3.25,19.3
2006-04-23,3.48,23.3
2006-04-24,4.01,36.3
2006-04-25,32.1,.150E+05
2006-04-26,3.91,28.4
2006-04-27,7.42,.116E+04
2006-04-28,3.87,39.8
2006-04-29,4.02,43.0
2006-04-30,4.08,67.3
2006-05-01,4.19,67.7
2006-05-02,4.90,230.
2006-05-03,4.66,151.
2006-05-04,4.25,140.
2006-05-05,4.42,175.
2006-05-06,4.58,214.
2006-05-07,26.8,.123E+05
2006-05-08,8.75,.207E+04
2006-05-09,5.25,401.
2006-05-10,7.38,.131E+04
2006-05-11,20.4,.875E+04
2006-05-12,5.65,513.
2006-05-13,30.7,.143E+05
2006-05-14,7.34,.120E+04
2006-05-15,5.94,612.
2006-05-16,6.14,654.
2006-05-17,6.23,712.
2006-05-18,6.85,956.
2006-05-19,44.9,.220E+05
2006-05-20,17.8,.715E+04
2006-05-21,6.60,843.
2006-05-22,6.64,838.
2006-05-23,6.91,944.
2006-05-24,46.5,.227E+05
2006-05-25,7.02,969.
2006-05-26,7.04,997.
2006-05-27,7.31,.104E+04
2006-05-28,100.,.479E+05
2006-05-29,8.42,.152E+04
2006-05-30,7.47,.109E+04
2006-05-31,7.25,.101E+04
2006-06-01,7.36,.109E+04
2006-06-02,7.51,.111E+04
2006-06-03,7.67,.126E+04
2006-06-04,7.67,.121E+04
2006-06-05,7.76,.127E+04
2006-06-06,56.8,.276E+05
2006-06-07,11.5,.326E+04
2006-06-08,7.95,.132E+04
2006-06-09,307.,.115E+06
2006-06-10,20.5,.815E+04
2006-06-11,55.8,.271E+05
2006-06-12,8.48,.149E+04
2006-06-13,8.34,.143E+04
2006-06-14,8.33,.143E+04
2006-06-15,15.5,.558E+04
2006-06-16,140.,.630E+05
2006-06-17,10.3,.242E+04
2006-06-18,115.,.535E+05
2006-06-19,10.2,.236E+04
2006-06-20,8.79,.161E+04
2006-06-21,8.96,.173E+04
2006-06-22,9.06,.185E+04
2006-06-23,9.04,.185E+04
2006-06-24,8.99,.179E+04
2006-06-25,9.12,.186E+04
2006-06-26,9.43,.204E+04
2006-06-27,9.09,.181E+04
2006-06-28,9.21,.187E+04
2006-06-29,9.17,.186E+04
2006-06-30,9.35,.193E+04
2006-07-01,108.,.507E+05
2006-07-02,11.1,.280E+04
2006-07-03,24.8,.107E+05
2006-07-04,9.96,.223E+04
2006-07-05,190.,.797E+05
2006-07-06,15.1,.495E+04
2006-07-07,10.7,.253E+04
2006-07-08,10.1,.226E+04
2006-07-09,13.8,.437E+04
2006-07-10,19.2,.748E+04
2006-07-11,10.2,.225E+04
2006-07-12,10.7,.253E+04
2006-07-13,10.5,.252E+04
2006-07-14,10.6,.252E+04
2006-07-15,10.8,.253E+04
2006-07-16,10.8,.259E+04
2006-07-17,332.,.122E+06
2006-07-18,310.,.116E+06
2006-07-19,841.,.258E+06
2006-07-20,124.,.565E+05
2006-07-21,378.,.133E+06
2006-07-22,56.2,.267E+05
2006-07-23,22.0,.876E+04
2006-07-24,20.9,.826E+04
2006-07-25,13.1,.374E+04
2006-07-26,11.6,.296E+04
2006-07-27,11.7,.302E+04
2006-07-28,11.7,.311E+04
2006-07-29,11.7,.297E+04
2006-07-30,11.9,.323E+04
2006-07-31,12.0,.324E+04
2006-08-01,12.1,.325E+04
2006-08-02,12.0,.326E+04
2006-08-03,11.9,.326E+04
2006-08-04,11.9,.326E+04
2006-08-05,12.0,.326E+04
2006-08-06,12.2,.326E+04
2006-08-07,12.1,.326E+04
2006-08-08,12.3,.351E+04
2006-08-09,134.,.604E+05
2006-08-10,14.5,.457E+04
2006-08-11,12.5,.354E+04
2006-08-12,12.5,.354E+04
2006-08-13,12.4,.337E+04
2006-08-14,12.3,.333E+04
2006-08-15,26.7,.115E+05
2006-08-16,24.6,.104E+05
2006-08-17,27.4,.119E+05
2006-08-18,12.3,.331E+04
2006-08-19,12.3,.332E+04
2006-08-20,12.3,.336E+04
2006-08-21,12.3,.332E+04
2006-08-22,12.2,.326E+04
2006-08-23,12.2,.326E+04
2006-08-24,15.7,.532E+04
2006-08-25,12.2,.327E+04
2006-08-26,14.4,.463E+04
2006-08-27,12.2,.327E+04
2006-08-28,11.9,.311E+04
2006-08-29,11.5,.282E+04
2006-08-30,11.5,.280E+04
2006-08-31,11.0,.251E+04
2006-09-01,74.7,.354E+05
2006-09-02,10.7,.211E+04
2006-09-03,10.4,.190E+04
2006-09-04,10.2,.178E+04
2006-09-05,9.85,.160E+04
2006-09-06,11.8,.269E+04
2006-09-07,20.6,.762E+04
2006-09-08,8.10,601.
2006-09-09,7.89,565.
2006-09-10,7.60,506.
2006-09-11,7.60,515.
2006-09-12,21.6,.826E+04
2006-09-13,56.6,.270E+05
2006-09-14,70.6,.337E+05
2006-09-15,7.21,404.
2006-09-16,7.09,404.
2006-09-17,10.7,.215E+04
2006-09-18,28.5,.123E+05
2006-09-19,6.78,348.
2006-09-20,6.78,405.
2006-09-21,6.80,404.
2006-09-22,6.77,403.
2006-09-23,6.73,401.
2006-09-24,6.69,400.
2006-09-25,6.65,400.
2006-09-26,34.5,.157E+05
2006-09-27,179.,.765E+05
2006-09-28,10.8,.236E+04
2006-09-29,7.29,719.
2006-09-30,6.83,564.
2006-10-01,7.34,718.
2006-10-02,99.5,.463E+05
2006-10-03,7.59,920.
2006-10-04,7.01,597.
2006-10-05,45.8,.220E+05
2006-10-06,.183E+04,.453E+06
2006-10-07,375.,.133E+06
2006-10-08,59.0,.281E+05
2006-10-09,20.5,.779E+04
2006-10-10,11.7,.289E+04
2006-10-11,9.04,.151E+04
2006-10-12,8.23,.123E+04
2006-10-13,8.19,.123E+04
2006-10-14,8.11,.117E+04
2006-10-15,8.24,.124E+04
2006-10-16,8.36,.124E+04
2006-10-17,8.45,.133E+04
2006-10-18,8.62,.146E+04
2006-10-19,8.74,.147E+04
2006-10-20,8.88,.158E+04
2006-10-21,9.09,.166E+04
2006-10-22,25.9,.111E+05
2006-10-23,133.,.604E+05
2006-10-24,.118E+04,.317E+06
2006-10-25,154.,.679E+05
2006-10-26,37.7,.170E+05
2006-10-27,18.4,.667E+04
2006-10-28,12.8,.351E+04
2006-10-29,38.8,.177E+05
2006-10-30,12.3,.328E+04
2006-10-31,10.9,.251E+04
2006-11-01,10.8,.251E+04
2006-11-02,10.9,.250E+04
2006-11-03,11.0,.257E+04
2006-11-04,11.1,.278E+04
2006-11-05,11.3,.278E+04
2006-11-06,11.4,.278E+04
2006-11-07,11.9,.308E+04
2006-11-08,11.6,.294E+04
2006-11-09,11.7,.300E+04
2006-11-10,11.8,.309E+04
2006-11-11,34.1,.153E+05
2006-11-12,12.1,.317E+04
2006-11-13,12.2,.323E+04
2006-11-14,12.2,.324E+04
2006-11-15,40.7,.187E+05
2006-11-16,12.5,.341E+04
2006-11-17,12.6,.345E+04
2006-11-18,12.6,.347E+04
2006-11-19,247.,.983E+05
2006-11-20,840.,.260E+06
2006-11-21,115.,.521E+05
2006-11-22,33.1,.144E+05
2006-11-23,18.9,.689E+04
2006-11-24,15.1,.480E+04
2006-11-25,14.0,.417E+04
2006-11-26,13.9,.417E+04
2006-11-27,224.,.919E+05
2006-11-28,66.5,.310E+05
2006-11-29,19.8,.725E+04
2006-11-30,18.3,.647E+04
2006-12-01,14.3,.425E+04
2006-12-02,13.9,.410E+04
2006-12-03,14.0,.418E+04
2006-12-04,14.0,.419E+04
2006-12-05,14.0,.419E+04
2006-12-06,14.1,.419E+04
2006-12-07,14.2,.425E+04
2006-12-08,14.2,.427E+04
2006-12-09,19.9,.753E+04
2006-12-10,14.3,.435E+04
2006-12-11,14.3,.436E+04
2006-12-12,26.5,.112E+05
2006-12-13,14.7,.457E+04
2006-12-14,38.5,.173E+05
2006-12-15,50.4,.234E+05
2006-12-16,16.9,.571E+04
2006-12-17,15.0,.470E+04
2006-12-18,14.7,.458E+04
2006-12-19,14.8,.458E+04
2006-12-20,14.7,.460E+04
2006-12-21,14.8,.463E+04
2006-12-22,14.8,.464E+04
2006-12-23,14.8,.469E+04
2006-12-24,14.8,.470E+04
2006-12-25,14.9,.470E+04
2006-12-26,.172E+04,.445E+06
2006-12-27,889.,.270E+06
2006-12-28,95.9,.439E+05
2006-12-29,33.9,.146E+05
2006-12-30,20.8,.779E+04
2006-12-31,17.2,.580E+04
2007-01-01,15.9,.518E+04
2007-01-02,15.5,.489E+04
2007-01-03,15.4,.483E+04
2007-01-04,15.3,.477E+04
2007-01-05,15.3,.477E+04
2007-01-06,137.,.621E+05
2007-01-07,23.1,.899E+04
2007-01-08,16.5,.544E+04
2007-01-09,15.5,.489E+04
2007-01-10,15.4,.486E+04
2007-01-11,15.4,.489E+04
2007-01-12,15.5,.489E+04
2007-01-13,15.4,.489E+04
2007-01-14,15.5,.489E+04
2007-01-15,15.4,.489E+04
2007-01-16,15.4,.489E+04
2007-01-17,16.7,.557E+04
2007-01-18,15.7,.504E+04
2007-01-19,15.4,.489E+04
2007-01-20,17.0,.588E+04
2007-01-21,15.7,.504E+04
2007-01-22,15.6,.504E+04
2007-01-23,15.4,.489E+04
2007-01-24,15.4,.489E+04
2007-01-25,15.4,.486E+04
2007-01-26,16.9,.573E+04
2007-01-27,15.6,.497E+04
2007-01-28,15.6,.497E+04
2007-01-29,17.0,.579E+04
2007-01-30,15.3,.476E+04
2007-01-31,15.2,.471E+04
2007-02-01,15.2,.470E+04
2007-02-02,15.2,.470E+04
2007-02-03,15.2,.470E+04
2007-02-04,15.2,.470E+04
2007-02-05,15.1,.470E+04
2007-02-06,15.1,.470E+04
2007-02-07,15.0,.470E+04
2007-02-08,15.0,.470E+04
2007-02-09,16.1,.530E+04
2007-02-10,24.1,.977E+04
2007-02-11,15.1,.465E+04
2007-02-12,14.8,.451E+04
2007-02-13,14.8,.449E+04
2007-02-14,78.2,.367E+05
2007-02-15,14.8,.444E+04
2007-02-16,14.7,.445E+04
2007-02-17,15.2,.469E+04
2007-02-18,74.7,.351E+05
2007-02-19,14.7,.436E+04
2007-02-20,14.7,.436E+04
2007-02-21,14.6,.436E+04
2007-02-22,14.5,.430E+04
2007-02-23,26.4,.110E+05
2007-02-24,14.8,.444E+04
2007-02-25,14.5,.429E+04
2007-02-26,14.4,.427E+04
2007-02-27,14.4,.419E+04
2007-02-28,14.3,.419E+04
2007-03-01,14.3,.419E+04
2007-03-02,14.3,.419E+04
2007-03-03,14.2,.419E+04
2007-03-04,14.2,.412E+04
2007-03-05,19.5,.720E+04
2007-03-06,14.1,.411E+04
2007-03-07,14.1,.411E+04
2007-03-08,14.1,.411E+04
2007-03-09,14.0,.410E+04
2007-03-10,14.0,.402E+04
2007-03-11,33.5,.147E+05
2007-03-12,13.9,.396E+04
2007-03-13,13.9,.393E+04
2007-03-14,13.8,.388E+04
2007-03-15,13.7,.388E+04
2007-03-16,13.7,.388E+04
2007-03-17,13.7,.388E+04
2007-03-18,13.6,.386E+04
2007-03-19,13.5,.386E+04
2007-03-20,13.5,.377E+04
2007-03-21,13.4,.372E+04
2007-03-22,13.3,.357E+04
2007-03-23,13.0,.348E+04
2007-03-24,13.0,.338E+04
2007-03-25,116.,.522E+05
2007-03-26,12.7,.307E+04
2007-03-27,6.34,19.4
2007-03-28,6.26,18.0
2007-03-29,6.04,16.6
2007-03-30,9.58,515.
2007-03-31,5.87,17.1
2007-04-01,3.12,15.5
2007-04-02,3.26,17.1
2007-04-03,52.8,.253E+05
2007-04-04,8.83,.119E+04
2007-04-05,2.61,5.53
2007-04-06,2.76,6.88
2007-04-07,41.5,.195E+05
2007-04-08,6.70,370.
2007-04-09,14.7,.471E+04
2007-04-10,2.84,13.6
2007-04-11,4.65,58.9
2007-04-12,3.25,19.4
2007-04-13,3.34,20.6
2007-04-14,15.0,.495E+04
2007-04-15,3.73,26.9
2007-04-16,19.2,.721E+04
2007-04-17,25.3,.111E+05
2007-04-18,15.8,.567E+04
2007-04-19,29.0,.130E+05
2007-04-20,4.05,37.2
2007-04-21,4.26,53.0
2007-04-22,4.39,62.4
2007-04-23,4.97,195.
2007-04-24,6.42,613.
2007-04-25,26.7,.118E+05
2007-04-26,5.11,180.
2007-04-27,5.32,242.
2007-04-28,24.8,.106E+05
2007-04-29,5.60,233.
2007-04-30,5.67,272.
2007-05-01,6.28,508.
2007-05-02,20.1,.800E+04
2007-05-03,6.28,479.
2007-05-04,6.34,477.
2007-05-05,6.52,564.
2007-05-06,131.,.600E+05
2007-05-07,11.2,.273E+04
2007-05-08,7.30,767.
2007-05-09,7.11,695.
2007-05-10,24.2,.101E+05
2007-05-11,11.0,.262E+04
2007-05-12,7.52,900.
2007-05-13,7.79,986.
2007-05-14,7.83,986.
2007-05-15,30.0,.132E+05
2007-05-16,8.07,.107E+04
2007-05-17,87.1,.413E+05
2007-05-18,8.27,.114E+04
2007-05-19,25.2,.105E+05
2007-05-20,8.55,.131E+04
2007-05-21,8.68,.131E+04
2007-05-22,8.67,.131E+04
2007-05-23,8.66,.131E+04
2007-05-24,9.05,.155E+04
2007-05-25,160.,.706E+05
2007-05-26,13.0,.351E+04
2007-05-27,9.38,.155E+04
2007-05-28,9.55,.179E+04
2007-05-29,9.45,.164E+04
2007-05-30,11.8,.289E+04
2007-05-31,11.2,.261E+04
2007-06-01,9.78,.181E+04
2007-06-02,9.72,.181E+04
2007-06-03,9.84,.183E+04
2007-06-04,9.93,.189E+04
2007-06-05,9.84,.189E+04
2007-06-06,9.80,.189E+04
2007-06-07,11.0,.247E+04
2007-06-08,9.99,.193E+04
2007-06-09,10.1,.200E+04
2007-06-10,35.3,.158E+05
2007-06-11,22.3,.876E+04
2007-06-12,10.1,.193E+04
2007-06-13,10.1,.193E+04
2007-06-14,26.9,.114E+05
2007-06-15,28.5,.121E+05
2007-06-16,10.2,.194E+04
2007-06-17,10.4,.211E+04
2007-06-18,10.2,.196E+04
2007-06-19,10.4,.210E+04
2007-06-20,10.2,.196E+04
2007-06-21,10.3,.202E+04
2007-06-22,50.5,.237E+05
2007-06-23,10.4,.201E+04
2007-06-24,12.0,.299E+04
2007-06-25,10.5,.216E+04
2007-06-26,10.5,.211E+04
2007-06-27,10.4,.210E+04
2007-06-28,10.3,.203E+04
2007-06-29,10.4,.210E+04
2007-06-30,10.5,.211E+04
2007-07-01,10.3,.202E+04
2007-07-02,10.8,.234E+04
2007-07-03,10.4,.209E+04
2007-07-04,27.3,.115E+05
2007-07-05,10.4,.206E+04
2007-07-06,10.3,.193E+04
2007-07-07,10.3,.206E+04
2007-07-08,10.3,.201E+04
2007-07-09,10.2,.193E+04
2007-07-10,10.6,.212E+04
2007-07-11,45.4,.211E+05
2007-07-12,10.3,.193E+04
2007-07-13,10.4,.206E+04
2007-07-14,167.,.727E+05
2007-07-15,832.,.264E+06
2007-07-16,69.2,.327E+05
2007-07-17,21.0,.759E+04
2007-07-18,12.9,.327E+04
2007-07-19,10.6,.206E+04
2007-07-20,10.2,.182E+04
2007-07-21,10.6,.205E+04
2007-07-22,11.5,.261E+04
2007-07-23,10.1,.180E+04
2007-07-24,9.88,.174E+04
2007-07-25,9.87,.174E+04
2007-07-26,9.95,.180E+04
2007-07-27,9.85,.174E+04
2007-07-28,9.47,.149E+04
2007-07-29,10.5,.199E+04
2007-07-30,92.3,.431E+05
2007-07-31,10.8,.199E+04
2007-08-01,8.81,.104E+04
2007-08-02,8.73,984.
2007-08-03,12.0,.260E+04
2007-08-04,8.36,769.
2007-08-05,8.13,582.
2007-08-06,7.83,516.
2007-08-07,7.59,478.
2007-08-08,7.47,397.
2007-08-09,7.22,361.
2007-08-10,7.12,314.
2007-08-11,7.00,310.
2007-08-12,6.36,141.
2007-08-13,6.16,94.2
2007-08-14,6.03,105.
2007-08-15,5.88,73.3
2007-08-16,5.83,73.3
2007-08-17,6.19,157.
2007-08-18,5.92,117.
2007-08-19,5.60,73.1
2007-08-20,5.62,108.
2007-08-21,5.46,78.9
2007-08-22,834.,.265E+06
2007-08-23,110.,.501E+05
2007-08-24,16.6,.508E+04
2007-08-25,7.90,665.
2007-08-26,5.89,134.
2007-08-27,5.47,71.9
2007-08-28,5.45,107.
2007-08-29,5.57,120.
2007-08-30,5.60,114.
2007-08-31,5.49,125.
2007-09-01,5.54,114.
2007-09-02,5.42,96.9
2007-09-03,5.34,96.0
2007-09-04,5.46,120.
2007-09-05,6.50,423.
2007-09-06,68.9,.330E+05
2007-09-07,343.,.126E+06
2007-09-08,20.9,.769E+04
2007-09-09,7.68,663.
2007-09-10,5.81,172.
2007-09-11,6.29,286.
2007-09-12,158.,.692E+05
2007-09-13,8.50,.102E+04
2007-09-14,5.83,172.
2007-09-15,5.57,138.
2007-09-16,5.62,132.
2007-09-17,5.59,132.
2007-09-18,5.80,171.
2007-09-19,5.77,173.
2007-09-20,5.67,128.
2007-09-21,5.70,129.
2007-09-22,5.76,173.
2007-09-23,6.00,194.
2007-09-24,6.01,216.
2007-09-25,6.02,219.
2007-09-26,5.96,221.
2007-09-27,6.20,310.
2007-09-28,5.94,224.
2007-09-29,8.47,.119E+04
2007-09-30,365.,.132E+06
2007-10-01,69.8,.331E+05
2007-10-02,41.1,.190E+05
2007-10-03,6.89,461.
2007-10-04,6.48,337.
2007-10-05,6.73,407.
2007-10-06,6.49,343.
2007-10-07,6.50,340.
2007-10-08,6.72,414.
2007-10-09,6.89,442.
2007-10-10,6.63,350.
2007-10-11,6.60,350.
2007-10-12,6.70,356.
2007-10-13,6.77,412.
2007-10-14,6.81,408.
2007-10-15,6.84,485.
2007-10-16,14.3,.413E+04
2007-10-17,6.90,504.
2007-10-18,6.88,496.
2007-10-19,16.0,.526E+04
2007-10-20,8.52,.111E+04
2007-10-21,6.96,494.
2007-10-22,6.95,494.
2007-10-23,6.98,494.
2007-10-24,7.04,493.
2007-10-25,7.05,504.
2007-10-26,38.1,.171E+05
2007-10-27,.101E+04,.296E+06
2007-10-28,83.2,.391E+05
2007-10-29,21.1,.761E+04
2007-10-30,10.7,.199E+04
2007-10-31,8.74,.111E+04
2007-11-01,8.12,874.
2007-11-02,9.41,.150E+04
2007-11-03,7.68,686.
2007-11-04,7.71,685.
2007-11-05,7.78,744.
2007-11-06,10.2,.190E+04
2007-11-07,7.91,807.
2007-11-08,7.95,809.
2007-11-09,8.03,882.
2007-11-10,68.7,.324E+05
2007-11-11,96.7,.447E+05
2007-11-12,8.68,.109E+04
2007-11-13,8.45,940.
2007-11-14,8.51,969.
2007-11-15,8.57,.104E+04
2007-11-16,8.70,.116E+04
2007-11-17,8.77,.116E+04
2007-11-18,8.80,.117E+04
2007-11-19,8.94,.118E+04
2007-11-20,9.27,.140E+04
2007-11-21,9.08,.134E+04
2007-11-22,9.13,.140E+04
2007-11-23,9.21,.140E+04
2007-11-24,9.25,.143E+04
2007-11-25,9.31,.143E+04
2007-11-26,9.39,.143E+04
2007-11-27,9.50,.151E+04
2007-11-28,9.60,.151E+04
2007-11-29,9.68,.166E+04
2007-11-30,9.89,.171E+04
2007-12-01,9.73,.168E+04
2007-12-02,9.78,.168E+04
2007-12-03,11.1,.231E+04
2007-12-04,9.91,.171E+04
2007-12-05,9.95,.177E+04
2007-12-06,9.98,.179E+04
2007-12-07,10.0,.179E+04
2007-12-08,10.1,.178E+04
2007-12-09,10.1,.178E+04
2007-12-10,10.1,.178E+04
2007-12-11,10.2,.179E+04
2007-12-12,10.2,.181E+04
2007-12-13,35.5,.157E+05
2007-12-14,10.3,.181E+04
2007-12-15,10.3,.181E+04
2007-12-16,10.3,.187E+04
2007-12-17,10.3,.197E+04
2007-12-18,10.3,.198E+04
2007-12-19,10.4,.197E+04
2007-12-20,10.3,.197E+04
2007-12-21,10.3,.197E+04
2007-12-22,10.6,.203E+04
2007-12-23,45.8,.212E+05
2007-12-24,10.4,.197E+04
2007-12-25,10.4,.197E+04
2007-12-26,10.4,.197E+04
2007-12-27,10.4,.197E+04
2007-12-28,19.5,.701E+04
2007-12-29,137.,.613E+05
2007-12-30,27.6,.115E+05
2007-12-31,10.7,.204E+04
2008-01-01,10.6,.204E+04
2008-01-02,10.6,.204E+04
2008-01-03,10.6,.204E+04
2008-01-04,10.6,.204E+04
2008-01-05,10.6,.204E+04
2008-01-06,10.6,.204E+04
2008-01-07,10.9,.216E+04
2008-01-08,10.6,.204E+04
2008-01-09,10.8,.216E+04
2008-01-10,10.6,.203E+04
2008-01-11,10.6,.204E+04
2008-01-12,35.9,.158E+05
2008-01-13,10.8,.206E+04
2008-01-14,10.8,.206E+04
2008-01-15,10.8,.206E+04
2008-01-16,10.8,.207E+04
2008-01-17,12.4,.298E+04
2008-01-18,10.8,.210E+04
2008-01-19,10.8,.210E+04
2008-01-20,10.8,.210E+04
2008-01-21,10.9,.211E+04
2008-01-22,10.9,.211E+04
2008-01-23,48.1,.220E+05
2008-01-24,10.9,.211E+04
2008-01-25,11.0,.211E+04
2008-01-26,11.0,.211E+04
2008-01-27,11.0,.211E+04
2008-01-28,10.9,.211E+04
2008-01-29,29.5,.125E+05
2008-01-30,11.0,.217E+04
2008-01-31,11.0,.217E+04
2008-02-01,11.0,.217E+04
2008-02-02,11.0,.223E+04
2008-02-03,115.,.516E+05
2008-02-04,11.8,.261E+04
2008-02-05,11.1,.231E+04
2008-02-06,14.9,.439E+04
2008-02-07,11.1,.230E+04
2008-02-08,11.1,.230E+04
2008-02-09,27.4,.113E+05
2008-02-10,22.3,.853E+04
2008-02-11,11.2,.231E+04
2008-02-12,53.8,.250E+05
2008-02-13,11.3,.234E+04
2008-02-14,11.3,.234E+04
2008-02-15,11.3,.236E+04
2008-02-16,11.4,.240E+04
2008-02-17,11.4,.240E+04
2008-02-18,11.4,.240E+04
2008-02-19,11.4,.240E+04
2008-02-20,11.4,.240E+04
2008-02-21,11.4,.240E+04
2008-02-22,11.1,.216E+04
2008-02-23,10.9,.203E+04
2008-02-24,10.7,.184E+04
2008-02-25,10.6,.178E+04
2008-02-26,19.9,.688E+04
2008-02-27,19.4,.661E+04
2008-02-28,10.1,.142E+04
2008-02-29,5.49,13.0
2008-03-01,5.47,12.3
2008-03-02,5.65,15.1
2008-03-03,11.2,.110E+04
2008-03-04,5.96,19.6
2008-03-05,5.95,19.6
2008-03-06,5.96,20.4
2008-03-07,6.04,21.7
2008-03-08,6.07,23.5
2008-03-09,5.90,23.4
2008-03-10,22.8,.766E+04
2008-03-11,5.84,24.7
2008-03-12,5.20,14.6
2008-03-13,5.16,15.4
2008-03-14,19.9,.735E+04
2008-03-15,9.38,.156E+04
2008-03-16,3.30,19.9
2008-03-17,3.49,22.3
2008-03-18,3.64,24.3
2008-03-19,4.23,32.1
2008-03-20,57.0,.272E+05
2008-03-21,4.19,31.3
2008-03-22,4.24,32.4
2008-03-23,4.03,34.8
2008-03-24,11.6,.294E+04
2008-03-25,4.30,49.4
2008-03-26,4.48,56.5
2008-03-27,4.57,58.0
2008-03-28,5.22,166.
2008-03-29,4.81,91.4
2008-03-30,12.7,.364E+04
2008-03-31,86.2,.410E+05
2008-04-01,5.00,198.
2008-04-02,5.06,211.
2008-04-03,5.25,209.
2008-04-04,5.34,264.
2008-04-05,5.48,296.
2008-04-06,5.67,339.
2008-04-07,10.3,.238E+04
2008-04-08,316.,.118E+06
2008-04-09,19.8,.740E+04
2008-04-10,100.0,.464E+05
2008-04-11,15.5,.507E+04
2008-04-12,6.82,603.
2008-04-13,7.19,794.
2008-04-14,10.0,.209E+04
2008-04-15,7.27,739.
2008-04-16,7.31,752.
2008-04-17,14.9,.482E+04
2008-04-18,445.,.151E+06
2008-04-19,141.,.627E+05
2008-04-20,18.4,.633E+04
2008-04-21,11.1,.251E+04
2008-04-22,9.25,.164E+04
2008-04-23,8.74,.134E+04
2008-04-24,34.5,.153E+05
2008-04-25,9.58,.170E+04
2008-04-26,13.0,.351E+04
2008-04-27,10.1,.196E+04
2008-04-28,9.51,.177E+04
2008-04-29,9.62,.177E+04
2008-04-30,9.64,.176E+04
2008-05-01,9.77,.181E+04
2008-05-02,10.9,.231E+04
2008-05-03,30.5,.131E+05
2008-05-04,10.5,.211E+04
2008-05-05,10.6,.216E+04
2008-05-06,10.4,.212E+04
2008-05-07,10.5,.217E+04
2008-05-08,10.8,.220E+04
2008-05-09,10.9,.220E+04
2008-05-10,18.5,.653E+04
2008-05-11,33.0,.144E+05
2008-05-12,11.3,.246E+04
2008-05-13,100.0,.458E+05
2008-05-14,33.8,.147E+05
2008-05-15,11.6,.250E+04
2008-05-16,11.6,.250E+04
2008-05-17,11.7,.274E+04
2008-05-18,11.8,.274E+04
2008-05-19,12.8,.321E+04
2008-05-20,316.,.117E+06
2008-05-21,40.6,.178E+05
2008-05-22,13.7,.354E+04
2008-05-23,12.2,.278E+04
2008-05-24,25.3,.101E+05
2008-05-25,59.9,.276E+05
2008-05-26,14.2,.378E+04
2008-05-27,12.6,.297E+04
2008-05-28,12.6,.297E+04
2008-05-29,44.4,.198E+05
2008-05-30,13.5,.345E+04
2008-05-31,69.8,.321E+05
2008-06-01,16.1,.475E+04
2008-06-02,13.4,.346E+04
2008-06-03,143.,.629E+05
2008-06-04,30.3,.123E+05
2008-06-05,16.5,.504E+04
2008-06-06,14.5,.401E+04
2008-06-07,13.4,.338E+04
2008-06-08,13.4,.347E+04
2008-06-09,15.1,.434E+04
2008-06-10,13.4,.345E+04
2008-06-11,13.4,.345E+04
2008-06-12,20.9,.755E+04
2008-06-13,13.4,.337E+04
2008-06-14,13.6,.353E+04
2008-06-15,13.7,.353E+04
2008-06-16,13.5,.353E+04
2008-06-17,13.7,.358E+04
2008-06-18,13.7,.355E+04
2008-06-19,13.6,.355E+04
2008-06-20,13.9,.371E+04
2008-06-21,15.3,.445E+04
2008-06-22,309.,.115E+06
2008-06-23,27.9,.110E+05
2008-06-24,15.3,.429E+04
2008-06-25,14.1,.371E+04
2008-06-26,14.1,.372E+04
2008-06-27,13.9,.358E+04
2008-06-28,13.8,.355E+04
