,降水量,気温.1,気温.2,風向・風速,日照 時間 (h,day,mean
1997-01-01,0.0,12.7,2.1,0.9,3.0,,
1997-01-02,0.0,16.8,2.8,2.4,4.2,,
1997-01-03,0.0,10.8,-0.2,2.2,8.0,,
1997-01-04,0.0,9.5,-1.5,1.1,8.0,,
1997-01-05,24.0,8.5,-5.7,1.2,5.7,,
1997-01-06,26.0,11.8,0.3,2.1,7.6,,
1997-01-07,0.0,11.1,-3.7,0.8,7.7,,
1997-01-08,0.0,8.3,-2.5,1.4,4.8,,
1997-01-09,0.0,7.8,-5.0,0.5,7.9,,
1997-01-10,0.0,9.0,-5.1,0.7,5.3,,
1997-01-11,0.0,8.5,-5.9,0.9,6.7,,
1997-01-12,0.0,7.6,-4.1,1.5,5.9,,
1997-01-13,0.0,8.1,-3.4,1.2,7.7,,
1997-01-14,0.0,11.3,-4.6,0.7,7.3,,
1997-01-15,0.0,9.1,-3.4,1.0,8.2,,
1997-01-16,0.0,6.9,-4.9,0.7,0.4,,
1997-01-17,0.0,10.5,-5.1,0.9,8.1,,
1997-01-18,0.0,14.1,-1.5,1.3,7.1,,
1997-01-19,0.0,7.4,-3.7,1.5,8.2,,
1997-01-20,0.0,10.8,-2.7,0.9,8.5,,
1997-01-21,0.0,14.2,-2.6,1.5,6.5,,
1997-01-22,0.0,0.3,-3.5,2.7,7.2,,
1997-01-23,0.0,8.8,-3.9,1.0,8.8,,
1997-01-24,5.0,10.9,-2.5,0.8,3.6,,
1997-01-25,1.0,7.2,-2.4,2.1,8.4,,
1997-01-26,0.0,9.8,-3.1,1.7,7.7,,
1997-01-27,0.0,11.1,-6.3,0.9,8.8,,
1997-01-28,0.0,9.7,-3.7,1.3,7.9,,
1997-01-29,0.0,9.7,-3.0,1.6,7.5,,
1997-01-30,0.0,5.8,-5.0,1.4,8.1,,
1997-01-31,0.0,6.6,-7.3,0.7,8.3,,
1997-02-01,0.0,9.4,-5.0,0.8,7.7,,
1997-02-02,0.0,7.3,-5.9,0.8,6.5,,
1997-02-03,23.0,5.3,1.7,2.2,0.0,,
1997-02-04,0.0,7.3,-3.2,2.8,9.3,,
1997-02-05,0.0,7.8,-4.8,0.8,9.0,,
1997-02-06,1.0,7.0,-0.5,1.0,1.1,,
1997-02-07,0.0,8.8,-3.7,1.0,7.4,,
1997-02-08,0.0,9.2,-0.5,1.3,0.4,,
1997-02-09,0.0,10.2,-1.7,1.0,8.3,,
1997-02-10,0.0,10.6,1.4,1.8,3.3,,
1997-02-11,7.0,10.7,0.2,2.5,1.9,,
1997-02-12,0.0,8.9,-2.6,1.3,5.4,,
1997-02-13,0.0,7.3,-6.0,0.9,8.3,,
1997-02-14,0.0,8.5,-6.1,0.7,7.8,,
1997-02-15,0.0,10.9,-4.2,1.0,1.2,,
1997-02-16,8.0,10.0,1.9,0.9,0.0,,
1997-02-17,0.0,10.8,-1.4,1.2,8.2,,
1997-02-18,0.0,8.8,-1.2,1.7,8.0,,
1997-02-19,0.0,6.7,-2.1,2.0,8.9,,
1997-02-20,0.0,12.9,-3.6,1.1,9.9,,
1997-02-21,0.0,10.6,-3.4,3.7,7.4,,
1997-02-22,0.0,3.7,-5.6,3.3,9.4,,
1997-02-23,0.0,8.4,-7.5,0.8,10.1,,
1997-02-24,0.0,11.8,-3.8,0.9,9.7,,
1997-02-25,0.0,15.6,-2.8,1.0,8.6,,
1997-02-26,0.0,16.9,4.1,1.8,9.0,,
1997-02-27,0.0,10.4,0.5,1.5,6.7,,
1997-02-28,0.0,13.6,1.8,2.0,1.4,,
1997-03-01,0.0,19.6,2.7,2.6,3.6,,
1997-03-02,0.0,7.6,-0.1,1.2,0.0,,
1997-03-03,2.0,5.4,1.2,1.3,0.0,,
1997-03-04,0.0,10.5,-0.4,1.5,6.5,,
1997-03-05,0.0,16.4,-2.5,1.0,9.1,,
1997-03-06,0.0,15.8,0.1,2.4,4.4,,
1997-03-07,0.0,21.0,10.7,2.5,9.8,,
1997-03-08,2.0,14.7,2.2,1.8,4.7,,
1997-03-09,0.0,13.5,-2.3,1.4,10.4,,
1997-03-10,0.0,11.0,-4.8,1.6,8.1,,
1997-03-11,0.0,20.7,1.3,1.8,10.4,,
1997-03-12,0.0,13.7,-1.2,1.3,10.7,,
1997-03-13,0.0,11.1,-1.6,1.9,9.7,,
1997-03-14,0.0,17.1,3.7,2.0,8.0,,
1997-03-15,8.0,8.7,5.8,3.0,0.0,,
1997-03-16,20.0,6.8,2.7,2.9,0.0,,
1997-03-17,0.0,8.5,1.5,2.7,10.7,,
1997-03-18,0.0,9.7,-0.7,1.8,9.7,,
1997-03-19,0.0,10.5,3.5,2.8,2.9,,
1997-03-20,0.0,10.4,1.0,1.8,8.1,,
1997-03-21,0.0,13.8,-0.3,1.5,6.7,,
1997-03-22,14.0,9.4,7.5,2.1,0.0,,
1997-03-23,3.0,7.3,3.0,2.3,0.0,,
1997-03-24,0.0,9.0,-2.0,2.4,9.8,,
1997-03-25,0.0,15.8,-4.6,0.9,10.9,,
1997-03-26,0.0,13.2,1.8,2.6,7.5,,
1997-03-27,39.0,11.5,5.6,3.1,0.0,,
1997-03-28,0.0,15.9,-0.4,1.5,10.1,,
1997-03-29,11.0,18.3,7.3,2.3,1.7,,
1997-03-30,30.0,23.5,7.5,2.3,6.3,,
1997-03-31,0.0,12.7,5.1,1.5,3.6,,
1997-04-01,0.0,13.9,2.8,1.3,9.0,,
1997-04-02,0.0,12.9,7.3,2.0,0.5,,
1997-04-03,6.0,11.2,8.9,2.5,0.0,,
1997-04-04,1.0,15.7,9.3,1.3,1.0,,
1997-04-05,9.0,12.5,11.5,2.3,0.0,,
1997-04-06,24.0,13.7,10.9,3.3,0.0,,
1997-04-07,16.0,16.8,9.8,2.2,0.1,,
1997-04-08,0.0,20.6,8.4,1.6,10.4,,
1997-04-09,0.0,19.4,12.1,2.0,4.7,,
1997-04-10,0.0,20.1,7.1,1.8,10.9,,
1997-04-11,0.0,20.6,4.9,1.9,10.0,,
1997-04-12,0.0,18.2,2.6,1.3,11.2,,
1997-04-13,0.0,22.2,2.4,1.4,11.1,,
1997-04-14,1.0,17.3,5.2,2.0,8.8,,
1997-04-15,0.0,11.0,8.2,2.8,0.0,,
1997-04-16,2.0,11.9,7.4,2.1,7.8,,
1997-04-17,0.0,16.4,7.0,1.6,4.2,,
1997-04-18,0.0,22.2,7.2,1.6,3.1,,
1997-04-19,4.0,14.9,7.7,2.3,6.0,,
1997-04-20,0.0,15.5,7.3,1.8,5.5,,
1997-04-21,0.0,17.9,6.4,1.5,2.9,,
1997-04-22,6.0,19.1,11.0,1.1,0.6,,
1997-04-23,3.0,13.0,2.8,1.5,0.0,,
1997-04-24,0.0,16.3,0.2,1.3,8.8,,
1997-04-25,0.0,20.1,0.9,1.8,12.0,,
1997-04-26,0.0,21.1,2.7,1.5,11.7,,
1997-04-27,0.0,24.5,4.6,0.9,11.3,,
1997-04-28,10.0,19.2,10.2,1.3,0.0,,
1997-04-29,0.0,26.2,12.5,1.2,8.3,,
1997-04-30,3.0,24.9,13.0,1.4,3.3,,
1997-05-01,4.0,18.3,10.8,1.8,8.9,,
1997-05-02,0.0,26.3,10.2,0.9,5.6,,
1997-05-03,0.0,17.2,13.9,1.9,0.0,,
1997-05-04,9.0,19.4,12.5,1.0,2.2,,
1997-05-05,0.0,20.8,14.3,1.7,8.1,,
1997-05-06,0.0,27.5,12.6,1.0,4.3,,
1997-05-07,0.0,19.2,16.0,2.1,9.3,,
1997-05-08,11.0,25.9,15.4,4.1,0.9,,
1997-05-09,16.0,19.7,7.3,1.8,2.6,,
1997-05-10,0.0,22.6,6.3,1.1,10.6,,
1997-05-11,0.0,24.2,12.4,1.4,3.4,,
1997-05-12,0.0,17.7,11.2,2.3,10.9,,
1997-05-13,0.0,18.6,9.0,1.5,0.1,,
1997-05-14,15.0,18.4,16.4,1.3,0.0,,
1997-05-15,2.0,21.0,16.9,0.4,0.0,,
1997-05-16,0.0,27.8,18.8,0.8,3.5,,
1997-05-17,0.0,19.6,14.2,1.9,0.0,,
1997-05-18,0.0,23.8,12.1,2.1,8.9,,
1997-05-19,4.0,19.1,12.9,0.9,0.0,,
1997-05-20,9.0,14.7,12.9,2.2,0.0,,
1997-05-21,1.0,18.3,12.7,3.0,4.4,,
1997-05-22,2.0,15.3,10.9,2.9,2.1,,
1997-05-23,0.0,16.2,12.1,2.4,0.0,,
1997-05-24,36.0,18.5,12.5,2.0,0.0,,
1997-05-25,37.0,21.1,13.9,1.8,1.9,,
1997-05-26,7.0,21.4,11.8,2.1,8.5,,
1997-05-27,0.0,15.8,11.9,2.4,4.7,,
1997-05-28,0.0,22.4,9.1,1.4,10.6,,
1997-05-29,0.0,24.6,10.0,1.2,4.6,,
1997-05-30,0.0,22.0,13.8,1.7,10.3,,
1997-05-31,0.0,19.4,15.8,2.4,1.5,,
1997-06-01,0.0,23.9,14.6,1.5,8.0,,
1997-06-02,0.0,26.1,15.6,2.2,0.4,,
1997-06-03,0.0,28.9,19.8,2.6,6.9,,
1997-06-04,5.0,22.5,16.8,1.8,0.0,,
1997-06-05,0.0,25.4,15.6,1.5,10.7,,
1997-06-06,2.0,19.0,12.0,1.6,0.0,,
1997-06-07,0.0,23.2,9.3,1.3,6.6,,
1997-06-08,0.0,18.0,12.0,2.9,2.4,,
1997-06-09,11.0,19.0,12.4,1.9,0.0,,
1997-06-10,17.0,24.4,18.3,2.1,4.0,,
1997-06-11,9.0,18.9,15.8,1.4,0.0,,
1997-06-12,0.0,19.3,15.1,2.2,4.5,,
1997-06-13,0.0,21.5,14.8,1.3,4.9,,
1997-06-14,0.0,21.4,16.4,1.5,6.1,,
1997-06-15,0.0,26.7,15.7,1.0,0.8,,
1997-06-16,0.0,19.0,15.8,3.3,4.1,,
1997-06-17,0.0,19.9,15.9,2.8,0.8,,
1997-06-18,7.0,19.3,16.7,1.1,0.0,,
1997-06-19,2.0,26.1,18.2,1.0,0.2,,
1997-06-20,76.0,24.5,21.1,3.3,0.0,,
1997-06-21,2.0,30.6,18.8,1.9,5.4,,
1997-06-22,1.0,25.0,18.2,0.8,0.5,,
1997-06-23,0.0,24.8,19.1,0.9,0.8,,
1997-06-24,0.0,27.2,17.8,1.2,11.6,,
1997-06-25,0.0,28.9,18.1,1.0,6.1,,
1997-06-26,0.0,31.9,21.3,1.2,7.5,,
1997-06-27,0.0,30.8,21.5,1.6,9.9,,
1997-06-28,0.0,27.8,20.8,2.7,0.0,,
1997-06-29,0.0,28.9,19.0,3.1,6.4,,
1997-06-30,0.0,29.9,15.4,1.6,12.4,,
1997-07-01,0.0,28.1,19.2,1.8,8.0,,
1997-07-02,0.0,29.6,20.2,1.2,1.2,,
1997-07-03,0.0,29.6,21.1,1.3,7.2,,
1997-07-04,0.0,37.0,21.2,0.7,4.2,,
1997-07-05,0.0,36.5,23.3,1.4,12.3,,
1997-07-06,0.0,34.9,20.3,1.7,11.9,,
1997-07-07,0.0,33.2,19.3,2.3,10.9,,
1997-07-08,0.0,33.7,20.3,2.1,9.0,,
1997-07-09,0.0,32.2,17.6,2.8,3.4,,
1997-07-10,14.0,18.1,16.9,2.4,0.0,,
1997-07-11,3.0,20.4,17.4,0.7,0.0,,
1997-07-12,5.0,21.7,18.6,0.5,0.0,,
1997-07-13,0.0,27.2,19.0,0.3,0.0,,
1997-07-14,0.0,28.4,20.3,1.2,0.3,,
1997-07-15,0.0,31.0,19.4,0.9,6.3,,
1997-07-16,0.0,31.8,21.5,1.4,7.3,,
1997-07-17,8.0,22.2,17.7,2.4,0.0,,
1997-07-18,5.0,22.7,16.2,1.0,2.3,,
1997-07-19,0.0,26.9,15.2,1.3,12.2,,
1997-07-20,0.0,26.6,15.9,1.4,11.5,,
1997-07-21,0.0,25.2,17.7,1.3,10.8,,
1997-07-22,0.0,23.5,18.7,1.9,7.7,,
1997-07-23,0.0,24.7,20.2,2.0,0.3,,
1997-07-24,0.0,26.0,20.9,1.7,5.1,,
1997-07-25,0.0,24.4,20.9,1.4,1.8,,
1997-07-26,1.0,27.3,21.7,2.7,1.6,,
1997-07-27,37.0,30.0,25.0,2.7,3.7,,
1997-07-28,3.0,30.5,23.6,2.6,0.3,,
1997-07-29,0.0,31.1,23.6,2.3,1.8,,
1997-07-30,0.0,24.8,21.8,1.5,0.0,,
1997-07-31,14.0,27.3,22.4,1.2,0.0,,
1997-08-01,0.0,33.2,23.5,1.3,8.4,,
1997-08-02,0.0,28.7,22.9,1.5,10.3,,
1997-08-03,0.0,30.7,22.2,1.2,9.5,,
1997-08-04,0.0,33.5,23.1,1.6,9.9,,
1997-08-05,1.0,30.2,24.3,3.0,0.4,,
1997-08-06,0.0,28.1,23.0,1.0,3.2,,
1997-08-07,1.0,28.5,22.0,1.4,7.2,,
1997-08-08,4.0,28.9,22.1,0.6,0.0,,
1997-08-09,0.0,33.3,25.2,2.6,12.3,,
1997-08-10,0.0,33.8,26.6,2.8,12.2,,
1997-08-11,0.0,27.3,21.6,2.5,9.4,,
1997-08-12,0.0,27.2,22.1,1.2,1.4,,
1997-08-13,0.0,33.1,22.6,1.2,2.4,,
1997-08-14,13.0,22.7,20.3,2.8,0.1,,
1997-08-15,0.0,22.3,19.9,1.9,1.4,,
1997-08-16,1.0,21.1,19.2,2.6,0.0,,
1997-08-17,0.0,22.6,18.8,2.5,7.2,,
1997-08-18,0.0,25.5,18.7,1.2,0.9,,
1997-08-19,0.0,29.0,21.5,1.3,5.2,,
1997-08-20,0.0,32.6,20.7,1.0,5.8,,
1997-08-21,0.0,25.2,22.0,1.9,2.3,,
1997-08-22,0.0,25.2,22.1,1.1,0.6,,
1997-08-23,0.0,30.3,22.5,1.1,3.1,,
1997-08-24,0.0,32.7,20.8,1.4,11.5,,
1997-08-25,10.0,23.5,21.0,2.8,1.2,,
1997-08-26,1.0,22.9,20.2,2.0,0.0,,
1997-08-27,2.0,28.4,18.6,1.1,10.5,,
1997-08-28,0.0,28.8,20.6,1.1,7.3,,
1997-08-29,0.0,28.4,21.1,1.3,6.5,,
1997-08-30,0.0,30.1,21.5,1.0,10.3,,
1997-08-31,0.0,25.7,21.4,1.6,6.8,,
1997-09-01,0.0,33.0,20.7,1.8,6.5,,
1997-09-02,0.0,33.8,23.5,1.3,10.4,,
1997-09-03,0.0,32.3,22.9,1.5,6.9,,
1997-09-04,0.0,26.0,22.4,1.8,2.9,,
1997-09-05,6.0,23.4,21.3,2.3,0.1,,
1997-09-06,0.0,25.1,20.5,1.6,5.9,,
1997-09-07,0.0,32.5,20.7,0.9,5.2,,
1997-09-08,60.0,25.0,20.8,2.0,0.1,,
1997-09-09,8.0,22.1,21.6,1.0,0.0,,
1997-09-10,0.0,28.7,19.9,0.9,7.5,,
1997-09-11,0.0,25.3,19.4,1.6,9.2,,
1997-09-12,0.0,23.2,19.4,2.9,0.9,,
1997-09-13,3.0,21.3,18.8,2.6,0.1,,
1997-09-14,0.0,21.3,18.8,2.4,0.0,,
1997-09-15,5.0,19.3,17.2,1.8,0.0,,
1997-09-16,17.0,20.1,17.7,3.3,0.0,,
1997-09-17,24.0,29.6,19.3,1.9,2.4,,
1997-09-18,28.0,23.2,20.1,2.2,0.0,,
1997-09-19,10.0,27.7,15.7,2.6,1.2,,
1997-09-20,0.0,21.9,14.2,1.5,4.1,,
1997-09-21,3.0,20.3,17.4,1.3,0.0,,
1997-09-22,1.0,21.9,17.5,1.6,0.8,,
1997-09-23,3.0,20.2,16.5,1.8,0.0,,
1997-09-24,0.0,20.6,14.7,2.4,4.6,,
1997-09-25,0.0,20.8,16.2,1.8,0.4,,
1997-09-26,26.0,18.1,16.0,1.4,0.0,,
1997-09-27,0.0,22.3,13.7,0.3,0.9,,
1997-09-28,0.0,23.6,12.0,0.6,4.5,,
1997-09-29,0.0,22.5,8.5,0.5,9.3,,
1997-09-30,1.0,22.4,11.8,0.7,5.8,,
1997-10-01,0.0,21.5,9.2,1.7,10.5,,
1997-10-02,1.0,21.9,10.1,1.2,6.2,,
1997-10-03,2.0,21.7,13.3,1.3,8.2,,
1997-10-04,0.0,21.9,12.1,0.9,1.8,,
1997-10-05,13.0,22.6,14.5,0.8,3.7,,
1997-10-06,0.0,20.6,12.1,1.6,9.5,,
1997-10-07,14.0,20.5,16.1,0.9,0.5,,
1997-10-08,0.0,25.1,7.4,1.4,5.8,,
1997-10-09,0.0,18.3,5.0,0.9,8.3,,
1997-10-10,0.0,24.2,13.2,1.4,4.4,,
1997-10-11,11.0,23.9,12.0,1.8,8.9,,
1997-10-12,0.0,20.3,8.7,1.3,4.6,,
1997-10-13,0.0,20.0,6.5,1.0,9.8,,
1997-10-14,0.0,22.6,6.5,1.1,8.2,,
1997-10-15,0.0,23.0,8.3,1.1,7.9,,
1997-10-16,0.0,19.7,5.0,0.6,9.6,,
1997-10-17,0.0,18.6,10.2,0.5,0.8,,
1997-10-18,0.0,24.2,9.2,0.6,7.4,,
1997-10-19,0.0,20.1,8.6,0.9,8.2,,
1997-10-20,0.0,24.6,11.5,0.7,7.6,,
1997-10-21,0.0,25.4,11.1,0.6,8.7,,
1997-10-22,0.0,20.4,11.9,1.5,7.6,,
1997-10-23,0.0,21.8,10.8,0.8,7.7,,
1997-10-24,0.0,24.3,10.8,0.9,6.4,,
1997-10-25,0.0,26.2,15.9,1.9,7.7,,
1997-10-26,0.0,19.1,7.7,1.2,5.4,,
1997-10-27,0.0,18.1,2.3,1.5,8.9,,
1997-10-28,2.0,16.5,0.7,0.9,7.6,,
1997-10-29,3.0,18.5,7.1,0.9,6.5,,
1997-10-30,0.0,19.8,6.5,1.0,5.1,,
1997-10-31,1.0,17.3,8.7,1.2,2.1,,
1997-11-01,0.0,16.6,3.0,0.9,9.1,,
1997-11-02,1.0,15.1,0.6,0.8,8.5,,
1997-11-03,0.0,17.1,11.2,1.2,4.4,,
1997-11-04,0.0,16.5,9.8,1.1,0.9,,
1997-11-05,0.0,19.2,6.3,1.0,7.3,,
1997-11-06,0.0,18.0,3.7,0.9,9.0,,
1997-11-07,0.0,15.8,1.4,0.9,8.9,,
1997-11-08,0.0,15.9,2.8,0.9,7.5,,
1997-11-09,0.0,17.0,2.8,0.7,8.4,,
1997-11-10,0.0,15.6,2.0,0.7,6.7,,
1997-11-11,0.0,19.9,4.8,1.0,7.7,,
1997-11-12,0.0,17.9,2.7,0.6,7.1,,
1997-11-13,3.0,15.4,6.6,2.0,0.9,,
1997-11-14,9.0,15.4,12.0,1.8,0.2,,
1997-11-15,21.0,17.4,9.4,0.8,0.4,,
1997-11-16,1.0,15.9,9.7,0.5,3.0,,
1997-11-17,14.0,17.1,10.7,1.0,0.0,,
1997-11-18,0.0,17.9,3.8,1.0,8.0,,
1997-11-19,0.0,13.9,-0.2,0.5,8.7,,
1997-11-20,9.0,13.5,1.6,1.0,0.1,,
1997-11-21,6.0,15.6,9.6,1.7,0.7,,
1997-11-22,16.0,14.7,13.7,0.7,0.0,,
1997-11-23,1.0,14.4,2.6,1.3,0.0,,
1997-11-24,0.0,13.3,2.0,0.4,7.0,,
1997-11-25,0.0,15.2,2.5,0.7,4.2,,
1997-11-26,5.0,21.4,7.8,2.4,0.0,,
1997-11-27,0.0,21.8,9.2,1.9,5.5,,
1997-11-28,0.0,13.1,6.7,1.4,1.9,,
1997-11-29,42.0,19.3,8.4,1.6,0.0,,
1997-11-30,23.0,20.1,8.1,2.1,3.9,,
1997-12-01,7.0,12.3,4.2,1.2,0.0,,
1997-12-02,2.0,10.6,3.2,1.5,0.0,,
1997-12-03,0.0,7.0,-3.4,1.1,5.4,,
1997-12-04,0.0,9.1,-5.1,0.5,7.7,,
1997-12-05,0.0,12.4,0.5,0.9,7.5,,
1997-12-06,0.0,13.6,2.3,1.4,7.1,,
1997-12-07,0.0,15.9,6.1,0.3,0.0,,
1997-12-08,9.0,16.0,12.3,1.3,0.0,,
1997-12-09,1.0,14.3,8.9,1.2,0.0,,
1997-12-10,0.0,14.1,1.1,1.4,4.9,,
1997-12-11,0.0,10.6,-3.2,0.8,7.5,,
1997-12-12,0.0,10.9,-1.2,0.9,7.6,,
1997-12-13,0.0,8.6,-1.3,1.3,7.7,,
1997-12-14,0.0,9.4,-2.0,0.6,4.1,,
1997-12-15,0.0,12.9,-2.2,0.5,7.1,,
1997-12-16,0.0,12.1,-2.4,0.4,7.3,,
1997-12-17,2.0,10.5,-1.3,0.9,0.0,,
1997-12-18,19.0,13.6,3.1,1.0,5.7,,
1997-12-19,0.0,16.1,0.2,0.8,6.9,,
1997-12-20,0.0,15.8,2.7,0.5,5.4,,
1997-12-21,0.0,12.8,2.4,1.3,4.7,,
1997-12-22,0.0,6.8,-1.9,1.2,3.3,,
1997-12-23,0.0,8.0,2.5,2.1,0.0,,
1997-12-24,0.0,8.3,0.2,2.1,3.6,,
1997-12-25,0.0,8.2,-0.9,1.8,6.6,,
1997-12-26,0.0,11.1,-0.7,1.5,5.1,,
1997-12-27,0.0,12.3,1.9,0.6,0.0,,
1997-12-28,0.0,13.1,-0.5,0.9,6.2,,
1997-12-29,0.0,8.5,-2.0,0.7,7.6,,
1997-12-30,12.0,8.3,1.7,1.3,0.2,,
1997-12-31,0.0,8.6,-1.7,0.8,7.2,,
1998-01-01,0.0,9.8,-2.1,0.5,0.8,,
1998-01-02,0.0,8.6,2.9,2.3,2.3,,
1998-01-03,0.0,12.6,-0.6,0.8,5.2,,
1998-01-04,2.0,9.0,-1.4,0.7,1.0,,
1998-01-05,0.0,7.2,-2.6,0.5,2.2,,
1998-01-06,0.0,10.4,-3.1,0.8,7.4,,
1998-01-07,0.0,7.0,-4.0,1.1,7.0,,
1998-01-08,31.0,3.7,-3.2,2.0,0.0,,
1998-01-09,2.0,5.3,-3.3,1.8,6.3,,
1998-01-10,0.0,8.5,-4.6,0.5,5.9,,
1998-01-11,0.0,7.0,-2.2,1.6,0.9,,
1998-01-12,11.0,5.6,0.1,3.3,0.0,,
1998-01-13,0.0,7.3,-2.3,1.1,7.4,,
1998-01-14,0.0,9.1,-3.2,1.0,4.7,,
1998-01-15,30.0,5.9,1.4,5.0,0.0,,
1998-01-16,1.0,7.0,-0.9,1.9,3.5,,
1998-01-17,1.0,8.1,-3.0,0.9,5.2,,
1998-01-18,21.0,13.0,4.0,1.5,0.0,,
1998-01-19,0.0,8.1,-2.2,0.8,0.0,,
1998-01-20,0.0,8.1,-3.0,0.7,8.3,,
1998-01-21,0.0,10.8,-2.6,1.0,8.4,,
1998-01-22,0.0,9.7,-3.2,1.3,8.5,,
1998-01-23,0.0,6.3,0.7,1.4,0.0,,
1998-01-24,0.0,7.9,-4.6,1.6,6.8,,
1998-01-25,0.0,5.7,-7.6,0.8,8.8,,
1998-01-26,0.0,10.6,-5.9,0.8,8.7,,
1998-01-27,0.0,6.3,-4.6,1.0,8.7,,
1998-01-28,0.0,7.5,-3.4,1.3,2.2,,
1998-01-29,0.0,5.5,-6.4,0.6,6.5,,
1998-01-30,0.0,7.9,-6.1,0.9,3.9,,
1998-01-31,0.0,13.1,-4.9,1.2,8.3,,
1998-02-01,0.0,6.6,-5.5,1.0,8.5,,
1998-02-02,0.0,9.0,-2.8,0.8,8.7,,
1998-02-03,0.0,9.9,-4.5,0.5,3.1,,
1998-02-04,0.0,8.7,-3.4,1.4,5.6,,
1998-02-05,0.0,7.6,-6.3,0.8,9.1,,
1998-02-06,0.0,10.3,-6.3,0.7,9.2,,
1998-02-07,0.0,7.3,-3.3,2.3,2.5,,
1998-02-08,8.0,9.3,1.2,1.7,1.8,,
1998-02-09,0.0,9.3,-2.4,2.2,8.2,,
1998-02-10,0.0,5.4,-4.0,1.0,0.6,,
1998-02-11,0.0,6.8,-5.1,1.0,9.3,,
1998-02-12,1.0,11.8,0.1,1.1,3.0,,
1998-02-13,0.0,13.8,-0.5,1.3,9.2,,
1998-02-14,0.0,16.7,3.6,2.3,5.3,,
1998-02-15,19.0,5.6,-0.7,2.4,0.0,,
1998-02-16,0.0,7.9,-2.2,1.0,9.0,,
1998-02-17,2.0,5.6,-1.3,1.6,1.3,,
1998-02-18,0.0,6.8,-5.5,0.8,9.6,,
1998-02-19,0.0,10.6,-4.5,0.8,9.2,,
1998-02-20,26.0,12.5,0.1,1.3,0.2,,
1998-02-21,10.0,6.9,1.1,4.3,2.4,,
1998-02-22,0.0,4.7,-2.8,1.2,8.4,,
1998-02-23,0.0,11.7,-3.0,0.7,9.8,,
1998-02-24,1.0,6.6,0.2,2.5,0.0,,
1998-02-25,2.0,6.8,3.8,3.2,0.0,,
1998-02-26,0.0,8.0,6.0,2.6,0.5,,
1998-02-27,0.0,12.9,3.9,1.0,5.9,,
1998-02-28,0.0,9.2,3.0,2.5,7.0,,
1998-03-01,34.0,7.1,2.7,3.4,0.0,,
1998-03-02,0.0,10.0,-2.2,0.8,10.3,,
1998-03-03,0.0,11.4,-1.3,0.9,9.7,,
1998-03-04,0.0,15.2,-1.4,1.0,9.9,,
1998-03-05,5.0,6.2,2.6,3.1,0.0,,
1998-03-06,5.0,8.2,-1.2,1.5,9.0,,
1998-03-07,0.0,12.6,-1.3,2.3,8.4,,
1998-03-08,0.0,8.9,-3.4,1.2,10.4,,
1998-03-09,0.0,12.6,-1.2,1.0,7.6,,
1998-03-10,0.0,5.9,-2.8,1.8,9.1,,
1998-03-11,0.0,9.4,-4.6,1.1,8.5,,
1998-03-12,37.0,10.4,6.6,2.3,0.0,,
1998-03-13,0.0,12.3,2.9,1.2,9.0,,
1998-03-14,0.0,15.4,1.3,1.5,9.1,,
1998-03-15,2.0,8.6,-1.2,2.5,3.1,,
1998-03-16,0.0,8.5,-4.0,1.3,9.2,,
1998-03-17,0.0,7.2,-2.2,2.0,7.3,,
1998-03-18,0.0,9.7,-4.0,1.5,9.9,,
1998-03-19,0.0,17.1,-2.6,2.0,5.7,,
1998-03-20,3.0,18.6,7.5,4.4,0.1,,
1998-03-21,2.0,9.4,5.1,2.2,1.1,,
1998-03-22,4.0,6.6,1.4,1.0,0.2,,
1998-03-23,0.0,10.6,-1.8,1.1,7.8,,
1998-03-24,0.0,12.3,2.8,1.2,5.3,,
1998-03-25,0.0,12.2,5.7,1.6,4.2,,
1998-03-26,0.0,15.0,1.2,1.5,10.6,,
1998-03-27,15.0,14.3,5.9,1.1,0.0,,
1998-03-28,0.0,16.1,6.3,1.0,6.3,,
1998-03-29,0.0,24.1,3.5,0.8,9.2,,
1998-03-30,0.0,24.1,5.9,1.1,8.8,,
1998-03-31,0.0,11.2,5.3,2.8,9.0,,
1998-04-01,15.0,7.7,2.7,1.6,0.0,,
1998-04-02,14.0,5.8,0.5,2.9,0.0,,
1998-04-03,0.0,10.2,-1.7,1.0,11.0,,
1998-04-04,0.0,13.0,2.0,1.0,4.8,,
1998-04-05,0.0,19.2,5.4,0.9,6.7,,
1998-04-06,5.0,11.9,9.9,1.6,0.0,,
1998-04-07,40.0,11.1,8.8,1.1,0.0,,
1998-04-08,1.0,17.6,8.2,1.7,2.9,,
1998-04-09,24.0,10.5,6.4,2.8,0.0,,
1998-04-10,0.0,19.7,6.1,1.3,10.6,,
1998-04-11,0.0,23.1,6.5,1.0,10.2,,
1998-04-12,0.0,17.1,9.9,2.3,1.0,,
1998-04-13,0.0,24.3,17.5,4.9,0.4,,
1998-04-14,24.0,22.9,19.7,3.3,0.0,,
1998-04-15,37.0,19.6,8.4,3.2,0.0,,
1998-04-16,0.0,11.6,7.5,2.0,4.0,,
1998-04-17,13.0,10.2,7.9,2.1,0.0,,
1998-04-18,0.0,15.6,8.1,1.0,2.7,,
1998-04-19,0.0,23.4,8.9,1.3,9.8,,
1998-04-20,0.0,23.0,10.0,1.0,10.6,,
1998-04-21,0.0,25.6,11.4,1.0,1.9,,
